accuracy,id,lat,lng,speed,time,type,state,stepCount,dbscan output,beaconData
8.1,0,37.517625,126.616489,13.42,4789715214168522752,NORMAL,AUTOMOBILE,9,1.0,
8.1,0,37.517308,126.616014,13.81,4789715214184906752,NORMAL,AUTOMOBILE,9,1.0,
8.1,0,37.516551,126.615581,16.61,4789715214209482752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.515649,126.61567,17.3,4789715214234058752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.515087,126.616013,17.24,4789715214250442752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.514439,126.616852,17.36,4789715214275018752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.514164,126.617585,17.93,4789715214291402752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.514033,126.618791,17.47,4789715214315978752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.514043,126.619531,15.66,4789715214332362752,NORMAL,AUTOMOBILE,6,1.0,
8.1,0,37.514109,126.620564,12.06,4789715214361034752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.514138,126.621062,15.73,4789715214373322752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.514229,126.622154,20.32,4789715214393802752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.51432,126.623502,19.12,4789715214418378752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.514203,126.62478,21.76,4789715214442954752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.513762,126.62565,26.05,4789715214459338752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.513626,126.62583,26.06,4789715214463434752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.512608,126.6265,19.12,4789715214496202752,NORMAL,AUTOMOBILE,1,1.0,
7.6,0,37.512282,126.626642,19.18,4789715214504394752,NORMAL,AUTOMOBILE,1,1.0,
8.0,0,37.511485,126.626896,21.56,4789715214520778752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.510692,126.627104,21.91,4789715214537162752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.510295,126.627195,22.1,4789715214545354752,NORMAL,AUTOMOBILE,1,1.0,
8.1,0,37.509429,126.627358,23.71,4789715214561738752,NORMAL,AUTOMOBILE,1,1.0,
9.4,0,37.508573,126.627506,23.65,4789715214578122752,NORMAL,AUTOMOBILE,1,1.0,
10.3,0,37.508364,126.62754,23.63,4789715214586314752,NORMAL,AUTOMOBILE,1,1.0,
284.5,0,37.462496,126.632542,0.0,4789715215573450752,STOP,STATION,1,1.0,
18.3,0,37.461672,126.631989,13.66,4789715215614410752,NORMAL,AUTOMOBILE,1,1.0,
